//DA_AA_BA_MB_FS_SS_SA_MD_RW_Constant_Data
000_000_000_0_0000_000_0000_1_1_0000000000000000_1000000000000000   // reg0  set value
001_000_000_0_0000_000_0000_1_1_0000000000000000_0100000000000001   // reg1  set value
010_000_000_0_0000_000_0000_1_1_0000000000000000_0110000000000010   // reg2  set value
011_000_000_0_0000_000_0000_1_1_0000000000000000_1111000000000011   // reg3  set value
100_000_000_0_0000_000_0000_1_1_0000000000000000_0000000010000100   // reg4  set value
101_000_000_0_0000_000_0000_1_1_0000000000000000_0000011000000101   // reg5  set value
110_000_000_0_0000_000_0000_1_1_0000000000000000_0000000110000110   // reg6  set value
111_000_000_0_0000_000_0000_1_1_0000000000000000_0000110000000111   // reg7  set value
000_001_010_0_0000_000_0000_0_1_0000000000000000_0000000000000000   // R0 = R1
001_010_011_0_0001_000_0000_0_1_0000000000000000_0000000000000000   // R1 = R2+1
010_011_100_0_0010_000_0000_0_1_0000000000000000_0000000000000000   // R2 = R3+R4
011_100_101_0_0011_000_0000_0_1_0000000000000000_0000000000000000   // R3 = R4+R5+1
100_101_110_0_0100_000_0000_0_1_0000000000000000_0000000000000000   // R4 = R5 + ~R6
101_110_111_0_0101_000_0000_0_1_0000000000000000_0000000000000000   // R5 = R6 - R7
110_111_000_0_0110_000_0000_0_1_0000000000000000_0000000000000000   // R6 = R7 - 1
000_001_010_0_0000_000_0000_0_1_0000000000000000_0000000000000000   // R0 = R1
001_010_011_0_0001_000_0000_0_1_0000000000000000_0000000000000000   // R1 = R2+1
010_011_100_0_0010_000_0000_0_1_0000000000000000_0000000000000000   // R2 = R3+R4
011_000_010_0_1100_010_0011_0_1_0000000000000000_0000000000000000   // R3<-R2 >> 3(rotate)
100_000_101_0_1100_011_0011_0_1_0000000000000000_0000000000000000   // R4<-R5 << 3(rotate)
100_000_000_1_1100_001_0010_0_1_0000000000000010_0000000000000000   // R4<-2 << 2
